Author	year	journal	primate_sp	plant_sp	Variable	Xc	Nc	Xe	Ne	lnR	Var(lnR)
González-Di Pierro AM,  Benítez-Malvido J, Méndez-Toribio M,  Zermeño I, Arroyo-Rodríguez V, Stoner KE	2011	Biotropica	Alouatta pigra	Ampelocera hottlei	Germination Proportion (%)	79.6	10	67.2	10	-0.1693	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus fuscicollis	Anomospermum grandifolium	Germination Proportion (%)	87.5	14	67.4	304	-0.261	0
Wehncke EV, Dalling JW 	2005	Biotropica	Cebus capucinus	Rheedia edulis	Germination Proportion (%)	71	10	68	14	-0.0432	0
Catenacci LS, Vleeschouwer KM, Nogueira-Filho SLG	2009	Biotropica	Leontopithecus chrysomelas	Eugenia  rostrata	Germination Proportion (%)	70	11	70	11	0	0
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Pourouma guianensis	Germination Proportion (%)	55.7	70	70	70	0.2285	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus fuscicollis	Ficus americana	Germination time (days)	42	200	70	1499	0.5108	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus mystax	Cecropia sciadophylla	Germination time (days)	35	10	70	1969	0.6931	0.0001
Wehncke EV, Dalling JW 	2005	Biotropica	Cebus capucinus	Rheedia edulis	Germination time (days)	77	14	70.5	14	-0.0882	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus mystax	Telitoxicum minutifolium	Germination Proportion (%)	83.3	12	70.5	61	-0.1668	0
Julliot C	1996	International Journal of Primatology	Alouatta seniculus	Cecropia obtusa	Germination Proportion (%)	95	200	70.7	246	-0.2954	0
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Sarcaulus brasiliensis	Germination time (days)	37	32	71	32	0.6518	0
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Pourouma guianensis	Days until 1st seed germinate	0.1	58	71	58	6.5653	1.7241
Righini N, Serio-Silva JC, Rico-Gray V, Martínez-Mota R	2004	Zoo Biology	Alouatta pigra	Ficus sp.	Germination Proportion (%)	36	10	73	10	0.7069	0.0001
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus fuscicollis	Duroia hirsuta	Germination Proportion (%)	100	13	75	12	-0.2877	0
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Ateles belzebuth	Brosimum alicastrum	Germination Proportion (%)	45	28	76	32	0.5241	0
Valenta K & Fedigan LM	2009	American Journal of Physical Anthropology	Cebus capucinus	Casearia arguta	Germination Proportion (%)	52.8	125	76.15	285	0.3662	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus mystax	Paullinia clathrata	Germination Proportion (%)	76.9	13	76.5	17	-0.0052	0
Nunes A	1995	Studies on Neotropical Fauna and Environment	Ateles belzebuth	Ocotea fasciculata	Germination Proportion (%)	0.1	40	77.5	40	6.6529	2.5
Bravo SP.	2009	Biotropica	Alouatta caraya	Cecropia pachystachya	Germination Proportion (%)	77.1	60	77.9	60	0.0103	0
Bravo SP.	2009	Biotropica	Alouatta caraya	Eugenia punicifolia	Germination Proportion (%)	94.4	33	78.4	33	-0.1857	0
Julliot C	1996	International Journal of Primatology	Alouatta seniculus	Moutabea guianensis	Germination Proportion (%)	100	36	79	100	-0.2357	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus mystax	Heteropsis spruceana	Germination Proportion (%)	100	11	79.3	29	-0.2319	0
Julliot C	1996	International Journal of Primatology	Alouatta seniculus	Bagassa guianensis	Germination Proportion (%)	29	200	79.3	378	1.0059	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus mystax	Talisia sp.	Germination Proportion (%)	75	32	79.5	39	0.0583	0
Stevenson PR	2000	American Journal of Primatology	Lagothrix lagotricha	Pourouma bicolor	Germination Proportion (%)	50	15	80	15	0.47	0
Catenacci LS, Vleeschouwer KM, Nogueira-Filho SLG	2009	Biotropica	Leontopithecus chrysomelas	Vismia latifolia	Germination Proportion (%)	80	15	80	15	0	0
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Ateles belzebuth	Trichilia tuberculata	Germination Proportion (%)	35	42	80	35	0.8267	0
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Lagothrix lagotricha	Pourouma bicolor	Germination Proportion (%)	50	60	80	70	0.47	0
Moraes PLR	1992	Revista do Instituto Florestal	Brachyteles arachnoides	Capsicodendron dinisii	Germination Proportion (%)	27	100	80	186	1.0862	0
Benitez-Malvido J, González-Di Pierro AM, Lombera R, Guillén S & Estrada A	2014	American Journal of Botany	Alouatta pigra	Ampelocera hottlei	Germination Proportion (%)	35.3	10	80.2	10	0.8206	0.0001
Benitez-Malvido J, González-Di Pierro AM, Lombera R, Guillén S & Estrada A	2014	American Journal of Botany	Ateles geoffroyi	Brosimum lactescens	Germination Proportion (%)	65.8	10	80.5	10	0.2016	0
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Cecropia hololeuca	Germination Proportion (%)	57.2	360	80.5	360	0.3417	0
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Miconia  lepidota	Germination time (days)	106	300	81	300	-0.269	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus fuscicollis	Pourouma cecropiifolia	Germination Proportion (%)	83.3	12	81.6	38	-0.0206	0
Valenta K & Fedigan LM	2009	American Journal of Physical Anthropology	Cebus capucinus	Trichilia martiana	Germination Proportion (%)	82.5	103	82.5	103	0	0
Julliot C	1996	International Journal of Primatology	Alouatta seniculus	Minquartia guianensis	Germination Proportion (%)	97.8	45	82.5	200	-0.1701	0
Righini N, Serio-Silva JC, Rico-Gray V, Martínez-Mota R	2004	Zoo Biology	Alouatta palliata	Ficus sp.	Germination Proportion (%)	36	10	83	10	0.8353	0.0001
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Sarcaulus brasiliensis	Germination Proportion (%)	14	36	83	36	1.7798	0.0001
Moraes PLR	1992	Revista do Instituto Florestal	Brachyteles arachnoides	Campomanesia guaviroba	Germination Proportion (%)	75	50	83	48	0.1014	0
Wehncke EV, Dalling JW 	2005	Biotropica	Cebus capucinus	Cecropia insignis	Germination Proportion (%)	100	350	83	350	-0.1863	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus mystax	Heteropsis oblongifolia	Germination Proportion (%)	62.5	24	83.3	18	0.2873	0
Wehncke EV, Dalling JW 	2005	Biotropica	Cebus capucinus	Hasseltia floribunda	Germination Proportion (%)	77	90	84	27	0.087	0
Nunes A	1995	Studies on Neotropical Fauna and Environment	Ateles belzebuth	Spondias mombin	Germination Proportion (%)	42.2	45	84.4	45	0.6931	0
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Tocoyena brasiliensis	Germination Proportion (%)	96.1	26	84.6	26	-0.1275	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus mystax	Duroia hirsuta	Germination Proportion (%)	100	13	84.6	52	-0.1672	0
Figueiredo RA	1993	Journal of Tropical Ecology	Alouatta caraya	Ficus enormis	Germination Proportion (%)	50.2	1000	84.7	1000	0.5231	0
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Inga thibaudiana	Germination Proportion (%)	100	27	85	27	-0.1625	0
Wehncke EV, Dalling JW 	2005	Biotropica	Cebus capucinus	Ficus yoponensis	Germination Proportion (%)	0.1	64	85	64	6.7452	1.5625
Martins MM	2006	Biotropica	Alouatta caraya	Diclidanthera sp.	Germination Proportion (%)	52	100	85	100	0.4914	0
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Tapirira guianensis	Germination Proportion (%)	45.8	48	85.4	48	0.6231	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus mystax	Mendoncia sprucei	Germination Proportion (%)	85.7	21	85.7	21	0	0
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Micropholis gardneriana	Germination Proportion (%)	68	125	86.4	125	0.2395	0
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Ateles belzebuth	Inga edulis	Germination Proportion (%)	78	23	87	15	0.1092	0
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Sarcaulus brasiliensis	Germination Proportion (%)	78.1	32	87.5	32	0.1136	0
Stevenson PR	2000	American Journal of Primatology	Lagothrix lagotricha	Cecropia membranacea	Germination Proportion (%)	82	15	88	15	0.0706	0
Martins MM	2006	Biotropica	Alouatta caraya	Celtis spinosa	Germination Proportion (%)	44	50	88	50	0.6931	0
Julliot C	1996	International Journal of Primatology	Alouatta seniculus	Chrysophyllum lucentifolium	Germination Proportion (%)	79	100	88	100	0.1079	0
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Ateles belzebuth	Simarouba amara	Germination Proportion (%)	10	21	89	18	2.1861	0.0005
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus fuscicollis	Paullinia clathrata	Germination Proportion (%)	76.9	13	89.3	28	0.1495	0
Catenacci LS, Vleeschouwer KM, Nogueira-Filho SLG	2009	Biotropica	Leontopithecus chrysomelas	Henriettea succosa	Germination time (days)	94.3	20	89.7	20	-0.05	0
Chaves OM,  Stoner KE,  Arroyo-Rodríguez V, Estrada A	2011	International Journal of Primatology	Ateles geoffroyi	Faramea occidentalis	Germination Proportion (%)	50	16	90	10	0.5878	0
Catenacci LS, Vleeschouwer KM, Nogueira-Filho SLG	2009	Biotropica	Leontopithecus chrysomelas	Pourouma mollis	Germination Proportion (%)	70	23	90	23	0.2513	0
Moraes PLR	1992	Revista do Instituto Florestal	Brachyteles arachnoides	Strychnos trinervis	Germination time (days)	120	50	90	39	-0.2877	0
Moraes PLR	1992	Revista do Instituto Florestal	Brachyteles arachnoides	Marlierea suaveolens	Germination Proportion (%)	71	100	90	95	0.2371	0
González-Di Pierro AM,  Benítez-Malvido J, Méndez-Toribio M,  Zermeño I, Arroyo-Rodríguez V, Stoner KE	2011	Biotropica	Alouatta pigra	Ampelocera hottlei	Germination Proportion (%)	75.2	10	90.6	10	0.1863	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus fuscicollis	Mendoncia sprucei	Germination Proportion (%)	85.7	21	90.9	33	0.0589	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus mystax	Ficus americana	Germination time (days)	42	200	91	1503	0.7732	0
Nunes A	1995	Studies on Neotropical Fauna and Environment	Ateles belzebuth	Pradosia surinamensis	Germination Proportion (%)	58.6	58	91.4	58	0.4445	0
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Posoqueria latifolia	Germination Proportion (%)	66.7	12	91.7	12	0.3183	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus fuscicollis	Garcinia acuminata	Germination Proportion (%)	53.8	13	92.9	28	0.5463	0
Stevenson PR	2000	American Journal of Primatology	Lagothrix lagotricha	Ficus gomelleira	Germination Proportion (%)	87	15	93	15	0.0667	0
Nunes A	1995	Studies on Neotropical Fauna and Environment	Ateles belzebuth	Inga sp.	Germination Proportion (%)	59.6	57	93	57	0.4449	0
Martins MM	2006	Biotropica	Brachyteles arachnoides	Diclidanthera sp.	Germination Proportion (%)	52	100	93	100	0.5814	0
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Miconia hypoleuca	Germination time (days)	37	270	93	270	0.9217	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus mystax	Pourouma cecropiifolia	Germination Proportion (%)	83.3	12	93.2	44	0.1123	0
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Ateles belzebuth	Oenocarpus bataua	Germination Proportion (%)	50	20	94	17	0.6313	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus mystax	Helicostylis scabra	Germination Proportion (%)	89.3	28	94.1	51	0.0524	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus mystax	Myrcia paivae	Germination Proportion (%)	100	54	94.1	119	-0.0608	0
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Randia sp.	Germination Proportion (%)	90	40	95	40	0.0541	0
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Ateles belzebuth	Alibertia  handrantha	Germination Proportion (%)	95	40	95	44	0	0
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Pourouma guianensis	Days until 1st seed germinate	96	70	96	70	0	0
Wehncke EV, Dalling JW 	2005	Biotropica	Cebus capucinus	Miconia affinis	Germination Proportion (%)	82	100	96	100	0.1576	0
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Calyptranthes lucida	Germination Proportion (%)	100	60	96.7	60	-0.0336	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus mystax	Tapirira obtusa	Germination Proportion (%)	100	12	96.8	30	-0.0325	0
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Myrcia sp.	Germination Proportion (%)	90	50	98	50	0.0852	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus fuscicollis	Parkia panurensis	Germination time (days)	49	26	98	287	0.6931	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus fuscicollis	Myrcia paivae	Germination Proportion (%)	100	54	98.2	112	-0.0182	0
Benitez-Malvido J, González-Di Pierro AM, Lombera R, Guillén S & Estrada A	2014	American Journal of Botany	Alouatta pigra	Brosimum lactescens	Germination Proportion (%)	65.8	10	98.5	10	0.4034	0
Benitez-Malvido J, González-Di Pierro AM, Lombera R, Guillén S & Estrada A	2014	American Journal of Botany	Ateles geoffroyi	Ampelocera hottlei	Germination Proportion (%)	35.3	10	98.5	10	1.0262	0.0001
Catenacci LS, Vleeschouwer KM, Nogueira-Filho SLG	2009	Biotropica	Leontopithecus chrysomelas	Cheiloclinium cognatum	Germination Proportion (%)	100	2	100	2	0	0.0001
Catenacci LS, Vleeschouwer KM, Nogueira-Filho SLG	2009	Biotropica	Leontopithecus chrysomelas	Myrcia fallax	Germination Proportion (%)	100	2	100	2	0	0.0001
Catenacci LS, Vleeschouwer KM, Nogueira-Filho SLG	2009	Biotropica	Leontopithecus chrysomelas	Simira viridiflora	Germination Proportion (%)	100	2	100	2	0	0.0001
Catenacci LS, Vleeschouwer KM, Nogueira-Filho SLG	2009	Biotropica	Leontopithecus chrysomelas	Psidium guava	Germination Proportion (%)	100	3	100	3	0	0.0001
Catenacci LS, Vleeschouwer KM, Nogueira-Filho SLG	2009	Biotropica	Leontopithecus chrysomelas	Miconia mirabilis	Germination Proportion (%)	100	4	100	4	0	0.0001
Martins MM	2006	Biotropica	Alouatta caraya	Cordia sellowiana	Germination Proportion (%)	15	20	100	5	1.8971	0.0002
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Marlierea sp.	Germination Proportion (%)	90	10	100	10	0.1054	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus mystax	Maripa sp.	Germination Proportion (%)	100	11	100	10	0	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus fuscicollis	Micropholis egensis	Germination Proportion (%)	100	16	100	11	0	0
Catenacci LS, Vleeschouwer KM, Nogueira-Filho SLG	2009	Biotropica	Leontopithecus chrysomelas	Ficus gomelleira	Germination Proportion (%)	80	13	100	13	0.2231	0
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Campomanesia eugenoides	Germination Proportion (%)	21.4	14	100	14	1.5418	0.0002
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus fuscicollis	Maripa sp.	Germination Proportion (%)	100	11	100	14	0	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus fuscicollis	Tapura coriacea	Germination Proportion (%)	90	10	100	14	0.1054	0
Chaves OM,  Stoner KE,  Arroyo-Rodríguez V, Estrada A	2011	International Journal of Primatology	Ateles geoffroyi	Brosimum lactescens	Germination Proportion (%)	29	14	100	15	1.2379	0.0001
Stevenson PR	2000	American Journal of Primatology	Lagothrix lagotricha	Inga bonplandiana	Germination Proportion (%)	97	15	100	15	0.0305	0
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Inga edulis	Germination Proportion (%)	100	18	100	18	0	0
Catenacci LS, Vleeschouwer KM, Nogueira-Filho SLG	2009	Biotropica	Leontopithecus chrysomelas	Henriettea succosa	Germination Proportion (%)	100	20	100	20	0	0
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Inga thibaudiana	Germination Proportion (%)	95	20	100	20	0.0513	0
Catenacci LS, Vleeschouwer KM, Nogueira-Filho SLG	2009	Biotropica	Leontopithecus chrysomelas	Aechmea sp.	Germination Proportion (%)	80	33	100	33	0.2231	0
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Ateles belzebuth	Leonia crassa	Germination Proportion (%)	100	25	100	39	0	0
Moraes PLR	1992	Revista do Instituto Florestal	Brachyteles arachnoides	Strychnos trinervis	Germination Proportion (%)	100	50	100	39	0	0
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Alouatta seniculus	Inga acreana	Germination Proportion (%)	75	40	100	40	0.2877	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus fuscicollis	Tapirira obtusa	Germination Proportion (%)	100	12	100	43	0	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus fuscicollis	Talisia sp.	Germination Proportion (%)	75	32	100	46	0.2877	0
Moraes PLR	1992	Revista do Instituto Florestal	Brachyteles arachnoides	Copaifera trapezifolia	Germination Proportion (%)	85	50	100	53	0.1625	0
Martins MM	2006	Biotropica	Brachyteles arachnoides	Eugenia ligustrina	Germination Proportion (%)	80	25	100	60	0.2231	0
Estrada A & Coates-Estrada R	1984	American Journal of Primatology	Alouatta palliata	Brosimum alicastrum	Germination Proportion (%)	94.5	100	100	80	0.0566	0
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Alouatta seniculus	Inga cylindrica	Germination Proportion (%)	100	130	100	130	0	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus mystax	Tococa guianensis	Germination time (days)	35	21	105	55	1.0986	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus mystax	Parkia panurensis	Germination time (days)	49	26	105	201	0.7621	0
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Sarcaulus brasiliensis	Germination time (days)	77	36	105.4	36	0.314	0
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Miconia latecrenata	Germination time (days)	114	385	114	385	0	0
Catenacci LS, Vleeschouwer KM, Nogueira-Filho SLG	2009	Biotropica	Leontopithecus chrysomelas	Pourouma mollis	Germination time (days)	107	23	119	23	0.1063	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus fuscicollis	Garcinia acuminata	Germination time (days)	175	13	119	28	-0.3857	0
Julliot C	1996	International Journal of Primatology	Alouatta seniculus	Minquartia guianensis	Days until 1st seed germinate	153	45	119	200	-0.2513	0
Catenacci LS, Vleeschouwer KM, Nogueira-Filho SLG	2009	Biotropica	Leontopithecus chrysomelas	Ficus gomelleira	Germination time (days)	84.8	13	124	13	0.38	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus fuscicollis	Roucheria punctata	Germination time (days)	133	14	126	167	-0.0541	0
Moraes PLR	1992	Revista do Instituto Florestal	Brachyteles arachnoides	Hyeronima alchorneoides	Germination time (days)	139	200	131	270	-0.0593	0
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Cecropia pachystachya	Germination time (days)	88	420	134	420	0.4205	0
Julliot C	1996	International Journal of Primatology	Alouatta seniculus	Minquartia guianensis	Germination time (days)	153	45	153	200	0	0
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Pourouma guianensis	Germination time (days)	0.1	58	155	58	7.346	1.7241
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Pourouma guianensis	Germination time (days)	171	70	171	70	0	0
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Miconia latecrenata	Germination time (days)	283	40	220	40	-0.2518	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus mystax	Roucheria punctata	Germination time (days)	133	14	238	34	0.5819	0
Julliot C	1996	International Journal of Primatology	Alouatta seniculus	Ludovia lancifolia	Days until 1st seed germinate	264	100	254	230	-0.0386	0
Julliot C	1996	International Journal of Primatology	Alouatta seniculus	Ludovia lancifolia	Germination time (days)	200	100	264	230	0.2776	0
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Cecropia hololeuca	Germination time (days)	408	120	347	120	-0.1619	0
